Time	sum(Output total – Blocks (LTC)) – Litecoin
19.10.2013	64650073750986
20.10.2013	28207625257846
21.10.2013	61102844698264
22.10.2013	98259984820612
23.10.2013	123824863140877
24.10.2013	103720341386655
25.10.2013	99329245574260
26.10.2013	36975828857260
27.10.2013	34812374519021
28.10.2013	58809008614052
29.10.2013	34408317851282
30.10.2013	76718509036567
31.10.2013	41196808093204
01.11.2013	52913276093759
02.11.2013	34769957975274
03.11.2013	121755092265453
04.11.2013	102339455772809
05.11.2013	85539648943284
06.11.2013	99236955431397
07.11.2013	203168269746543
08.11.2013	117403905601148
09.11.2013	101506390250904
10.11.2013	82995305563518
11.11.2013	61539994379436
12.11.2013	62662471023593
13.11.2013	84935023173939
14.11.2013	127423895805770
15.11.2013	13971474723652192
16.11.2013	10425260070137768
17.11.2013	9582287402659596
18.11.2013	7673562669810576
19.11.2013	5447592838784386
20.11.2013	6476952189061649
21.11.2013	6468255481672871
22.11.2013	7037279627757806
23.11.2013	2622183959914206
24.11.2013	2652374832681330
25.11.2013	3309814513848536
26.11.2013	4498110614740104
27.11.2013	5365325706542711
28.11.2013	11349867818948628
29.11.2013	9684122191801948
30.11.2013	6699737557442458
01.12.2013	3793640688424874
02.12.2013	3284925357235722
03.12.2013	2929810234358020
04.12.2013	2229042353928009
05.12.2013	4368305345062228
06.12.2013	3393651684307386
07.12.2013	3930245846946306
08.12.2013	1126080310815994
09.12.2013	1927599321607686
10.12.2013	2320002609667117
11.12.2013	1567837930831660
12.12.2013	1446980590427884
13.12.2013	1753455616424531
14.12.2013	438648155854542
15.12.2013	2095548526251961
16.12.2013	3544390730007828
17.12.2013	3156668090609123
18.12.2013	9306806729200816
19.12.2013	14316181527386244
20.12.2013	12103660582429232
21.12.2013	1388868999675076
22.12.2013	2717941327382220
23.12.2013	6403911512280987
24.12.2013	3806054156683222
25.12.2013	830737791734149
26.12.2013	2849549170116971
27.12.2013	3696458986580196
28.12.2013	1033348878631237
29.12.2013	1031595019492188
30.12.2013	1502465444339908
31.12.2013	2908505814973300
01.01.2014	842675147381174
02.01.2014	1376623673231677
03.01.2014	1345465050983530
04.01.2014	1205242288457104
05.01.2014	943619806635973
06.01.2014	4619535533019194
07.01.2014	6057745393432712
08.01.2014	1909256587522386
09.01.2014	737155824998976
10.01.2014	650345489663629
11.01.2014	511660485345429
12.01.2014	457517444454653
13.01.2014	573931705526439
14.01.2014	619879689598400
15.01.2014	893857646260538
16.01.2014	511090377432265
17.01.2014	507588693990413
18.01.2014	662949501589911
19.01.2014	530088044669463
20.01.2014	760637315309400
21.01.2014	815629565935535
22.01.2014	744187831372807
23.01.2014	954479097726420
24.01.2014	1398044475524405
25.01.2014	660997560241528
26.01.2014	1004266363106223
27.01.2014	930431543592252
28.01.2014	649557063036927
29.01.2014	1434886351966000
30.01.2014	631372179814666
31.01.2014	393942975803021
01.02.2014	450328414229241
02.02.2014	514393396700932
03.02.2014	772877450184046
04.02.2014	879361694517006
05.02.2014	774246770238183
06.02.2014	521530781057244
07.02.2014	855119508094335
08.02.2014	609288900541847
09.02.2014	1057595811825978
10.02.2014	3079863776952089
11.02.2014	827980672376111
12.02.2014	645485289974352
13.02.2014	739433977477031
14.02.2014	1691077490395444
15.02.2014	533694671288169
16.02.2014	928143115089197
17.02.2014	467431183461234
18.02.2014	609236608638721
19.02.2014	2066403139389518
20.02.2014	1113678586045420
21.02.2014	1274287215469541
22.02.2014	189787419806400
23.02.2014	380530006941796
24.02.2014	412498193183131
25.02.2014	952723338434332
26.02.2014	255351397795209
27.02.2014	307400994106496
28.02.2014	298262973020813
01.03.2014	339218484591602
02.03.2014	262695156846177
03.03.2014	934173186426951
04.03.2014	2228784649127557
05.03.2014	1054488647339534
06.03.2014	462595817279863
07.03.2014	399320014414514
08.03.2014	493429101088814
09.03.2014	408855266301201
10.03.2014	299761514602021
11.03.2014	231114189973541
12.03.2014	421982004508184
13.03.2014	126964550220110
14.03.2014	209557045551901
15.03.2014	330067409291569
16.03.2014	549802730403050
17.03.2014	724523995023638
18.03.2014	872666804630617
19.03.2014	2301389880579043
20.03.2014	1772439788329100
21.03.2014	1146307312149591
22.03.2014	524647588755844
23.03.2014	476329634680529
24.03.2014	558281093745800
25.03.2014	453951193776577
26.03.2014	496414904657822
27.03.2014	3135277102440568
28.03.2014	499026717044939
29.03.2014	237429019706451
30.03.2014	494099633982775
31.03.2014	484495077547500
01.04.2014	372379111567967
02.04.2014	751552256389802
03.04.2014	1289921563353581
04.04.2014	1370103957186880
05.04.2014	589052289284579
06.04.2014	419394223347556
07.04.2014	482628373803530
08.04.2014	418505859202541
09.04.2014	362746299472314
10.04.2014	895574203834412
11.04.2014	612251612171064
12.04.2014	314648073174062
13.04.2014	175053747626058
14.04.2014	330574032428559
15.04.2014	262311285622601
16.04.2014	493619958749507
17.04.2014	345179891534746
18.04.2014	357502785872904
